,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
95,95,95,NHO Transport,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970168168,Interessegruppe
96,96,96,NIBIO,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=993839175,Offentlig forvaltning
97,97,97,Norad,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=922263698,Interessegruppe
98,98,98,Nordland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964982953,Offentlig forvaltning
99,99,99,Norges Bilbransjeforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=984469403,Interessegruppe
100,100,100,Norges Rederiforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971436190,Interessegruppe
101,101,101,Norges Skogeierforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=938752826,Interessegruppe
102,102,102,Norsk Arbeidsmandsforbund,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=871096082,Interessegruppe
103,103,103,Norsk elbilforening,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=982352428,Interessegruppe
104,104,104,Norsk Friluftsliv,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971262834,Interessegruppe
105,105,105,Norsk Hydro,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=923530827,Bedrift
106,106,106,Norsk Hydrogenforum,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980573281,Interessegruppe
107,107,107,Norsk Industri,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952151266,Interessegruppe
108,108,108,Norsk institutt for vannforskning (NIVA),,Akademisk institusjon
109,109,109,Norsk intitutt for naturforskning,,Akademisk institusjon
110,110,110,Norsk Kjernekraft AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929625021,Bedrift
111,111,111,Norsk senter for økologisk landbruk (NORSØK),,Frivillig organisasjon
112,112,112,Norsk Studentorganisasjon,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=995523868,Interessegruppe
113,113,113,Norske kjernekraftkommuner,,Interessegruppe
114,114,114,NORSKOG,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=956911117,Interessegruppe
115,115,115,NTL Norsk Tjenestemannslag,,Interessegruppe
116,116,116,NTNU,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=919811307,Akademisk institusjon
117,117,117,Næringslivets Hovedorganisasjon (NHO),,Interessegruppe
118,118,118,Offshore Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=913324420,Bedrift
119,119,119,Olav Øy,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=892963932,Bedrift
120,120,120,Opplysningskontoret for Egg og Kjøtt (OEK/MatPrat),,Bedrift
121,121,121,Osloregionen interkommunalt politisk råd,,Interessegruppe
122,122,122,Overhalla kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=939896600,Offentlig forvaltning
123,123,123,Person som ikke har oppgitt navn (045216),,Privatperson
124,124,124,Person som ikke har oppgitt navn (104132),,Privatperson
125,125,125,Person som ikke har oppgitt navn (129660),,Privatperson
126,126,126,Person som ikke har oppgitt navn (130235),,Privatperson
127,127,127,Person som ikke har oppgitt navn (132351),,Privatperson
128,128,128,Person som ikke har oppgitt navn (140397),,Privatperson
129,129,129,Person som ikke har oppgitt navn (141156),,Privatperson
130,130,130,Person som ikke har oppgitt navn (143385),,Privatperson
131,131,131,Person som ikke har oppgitt navn (144395),,Privatperson
132,132,132,Person som ikke har oppgitt navn (145469),,Privatperson
133,133,133,Person som ikke har oppgitt navn (152116),,Privatperson
