,Unnamed: 0.1,Unnamed: 0,actor,url,org_form
170,170,170,Vestfold fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929882385,Fylkeskommune
171,171,171,Vestland fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=821311632,Fylkeskommune
172,172,172,Vårgrønn,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925904082,Aksjeselskap
173,173,173,Sivilingeniør Arve Gleissner Gustavsen,,Sivilingeniør (Privatperson)
174,174,174,Skagerak Energi,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980495302,Aksjeselskap
175,175,175,Skift - Næringslivets Klimaledere,,Forening
176,176,176,Skognæringa Kyst SA,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912899411,Samvirkeforetak
177,177,177,Småkraftforeninga,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=884169232,Forening
178,178,178,SoCentral AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=999271561,Aksjeselskap
179,179,179,Sokkeldirektoratet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=870917732,Organisasjonsledd
180,180,180,Sola INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=925866652,Forening
181,181,181,Spire,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=912159167,Forening
182,182,182,Standard Norge,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=985942897,Forening
183,183,183,Statkraft AS,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=987059699,Aksjeselskap
184,184,184,Statsbygg,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=971278374,Organisasjonsledd
185,185,185,Statsforvalteren i Vestfold og Telemark,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=974762501,Organisasjonsledd
186,186,186,Stavanger kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=964965226,Kommune
187,187,187,Stig Eidesmo,,Privatperson
188,188,188,Sunnfjord kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921244207,Kommune
189,189,189,Syklistforeningen,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930211249,Forening
190,190,190,Telemark fylkeskommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=929882989,Fylkeskommune
191,191,191,Thom,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=951358223,Aksjeselskap
192,192,192,Treindustrien,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=980308952,Forening
193,193,193,Tromsø kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=940101808,Kommune
194,194,194,Trondheim kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=942110464,Kommune
195,195,195,Trysil kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=864948502,Kommune
196,196,196,Tysvær Industri- og Næringspartiet,,Politisk parti
197,197,197,Tønsberg kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=921383681,Kommune
198,198,198,Unio,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=984152175,Forening
199,199,199,Universitets- og høgskolerådet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=917697825,Forening
200,200,200,Vaksdal INP,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=931434314,Forening
201,201,201,Vennesla kommune,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=936846777,Kommune
202,202,202,Vestnes Industri- og Næringsparti (INP),,Politisk parti
203,203,203,Veterinærinstituttet,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=970955623,Organisasjonsledd
204,204,204,Veterinært bærekraftforum,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=932017636,Forening
205,205,205,Skift - Næringslivets Klimaledere,,Forening
206,206,206,WoodWorks! Cluster,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=927525399,Forening
207,207,207,WWF Verdens naturfond,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=952330071,Stiftelse
208,208,208,Yara,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=879382882,Norskregistrert utenlandsk foretak
209,209,209,Yrkesorganisasjonenes Sentralforbund (YS),,Forening
210,210,210,Z-Clix,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=930476749,Aksjeselskap
211,211,211,ZERO,https://w2.brreg.no/enhet/sok/detalj.jsp?orgnr=950318651,Aksjeselskap
